,PITCH,PITCHER,RELSPEED
577,SI,"Morejon, Adrian",96.3930880952381
578,SI,"Northcraft, Aaron",88.84484333333333
579,SI,"O'Day, Darren",84.70435
580,SI,"Ottavino, Adam",94.13987514285714
581,SI,"Patino, Luis",95.46451
582,SI,"Peacock, Matt",93.27577132075473
583,SI,"Perez, Martin",93.57135924242425
584,SI,"Phelps, David",93.89998777777777
585,SI,"Price, David",92.89443625
586,SI,"Quintana, Jose",91.72321600000001
587,SI,"Ramirez, Nick",90.23929857142856
588,SI,"Reed, Cody",93.82731909090909
589,SI,"Richards, Garrett",94.99443555555555
590,SI,"Roark, Tanner",91.78520333333334
591,SI,"Rodriguez, Christopher",96.86287480000001
592,SI,"Rodriguez, Eduardo",92.58182272727272
593,SI,"Rodriguez, Joely",93.99270214285714
594,SI,"Rogers, Taylor",95.367156
595,SI,"Rogers, Tyler",82.44846571428572
596,SI,"Rowen, Benjamin",80.42508333333333
597,SI,"Ruiz, Jose",91.85379
598,SI,"Sadler, Casey",92.298503
599,SI,"Sanchez, Aaron",91.86639684210526
600,SI,"Santana, Dennis",93.54064133333333
601,SI,"Santana, Ervin",92.66406
602,SI,"Sawamura, Hirokazu",92.0420443902439
603,SI,"Shoemaker, Matthew",91.55471916666666
604,SI,"Stammen, Craig",91.62545035714287
605,SI,"Tate, Dillon",94.63953000000001
606,SI,"Taylor, Josh",94.20208176470588
607,SI,"Thompson, Ryan",90.70837999999999
608,SI,"Treinen, Blake",98.582384
609,SI,"Trivino, Lou",96.719308
610,SI,"Underwood Jr., Duane",92.18317
611,SI,"Valdez, Cesar",86.91929
612,SI,"Vest, Will",94.001716
613,SI,"Watson, Tony",90.88274
